Compound	Object ID	InChI-Key	SMILES
CPD-2982	CPD-2982	InChIKey=WBEFUVAYFSOUEA-PQMHYQBVSA-N	C3(\C(\C=C1(C(=O)C2(/C(/O1)=C\C(\O)=C/C(/O)=2)))=CC(\O)=C(\C=3)\O)
CPD-20906	CPD-20906		C[C@@H](O)CNC(=O)CC[C@]1(C)([C@@H](CC(=O)N)[C@@H]8([C@@]6(C)([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C7(\C(/C)=C4([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C5(\C=C2(C(C)(C)[C@H](CCC(N)=O)C3(\C(/C)=C1/N([Co-2]([N+]\2=3)([N+]4=5)[N+]\6=7)8)))))))).[a [corrinoid adenosyltransferase]]
FRU1P	FRU1P	InChIKey=RHKKZBWRNHGJEZ-ARQDHWQXSA-L	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@](COP([O-])([O-])=O)(O)O1)
CPD-15182	CPD-15182	InChIKey=NJNUXMOGJWUPPV-OKJGWHJPSA-G	CC2(\C8(/[C@@H](CCC([O-])=O)[C@](C)(C)C3(\[N+](\[Co-2]47(N1([C@@H]([C@@H]([C@](CCC([O-])=O)(C)C/1=2)CC([O-])=O)[C@@]6(C)([C@@](C)(CC([O-])=O)[C@H](CCC(=O)[O-])C(\C(/C)=C5([C@@](C)(CC(N)=O)[C@@H](C(\C=3)=[N+]45)CCC([O-])=O))=[N+]6\7))))=8)))
CPD-18201	CPD-18201	InChIKey=NPIQAWSIYDPIFA-LLCPMXLLSA-N	C1(=O)(C(C(S)C(/N1)=C\S)=N)
CPD-16154	CPD-16154	InChIKey=RHKKZBWRNHGJEZ-ZXXMMSQZSA-L	[O-]P(=O)(O[R1])[O-]
CPD-9090	CPD-9090		CC[C@@H]1([C@@H](C)C2(\N=C1\C=C7(C(\C)=C3(C4(\N([Mg]N6(C(\C=2)=C(C(/C)=C(\C=C5([C@@H](C)[C@H](CCC(=O)OC/C=C(C)/CCC[C@H](C)CCC[C@H](C)CCC=C(C)C)C(\C(/[C@@H-](C(OC)=O)C(=O)3)=4)=N5))/6)/C(C)=O))7)))))
CPD-16155	CPD-16155	InChIKey=HXRNACQBNUPKDX-ARQDHWQXSA-L	[O-]P(=O)(O[R1])[O-]
CPD-8870	CPD-8870	InChIKey=IPICHZZBNWXBTM-UHFFFAOYSA-M	C/C=C(C)/[Hg]Cl
CPD-16156	CPD-16156	InChIKey=HXRNACQBNUPKDX-ZXXMMSQZSA-L	[O-]P(=O)(O[R1])[O-]
CPD-17481	CPD-17481	InChIKey=TZOWYMKOGOEJDC-MTUHIDJDSA-N	C3(/C=C(\C=C/C(/C=C1(C(=O)C2(\C(\O1)=C/C(/O)=C\C=2)))=3)/O[C@H]4([C@@H]([C@H]([C@H](O)[C@H](O4)CO)O)O))
CPD-12503	CPD-12503	InChIKey=KTKAFSMJDTUUAN-UUOKFMHZSA-L	C(OP(=O)([O-])[O-])[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CPD-690	CPD-690	InChIKey=OCNLJCZKGHKJGF-NQYRMHKHSA-H	CC3(\C%11(/[C@@H](CCC([O-])=O)C(C)(C)C4(\[N+](\[Co-2]15([N+]7(/[C@@](C)([C@H]2([C@H](CC(=O)[O-])[C@@](C)(CCC([O-])=O)C(\N12)=3))[C@@](C)(CC(N)=O)[C@H](CCC([O-])=O)C(\C(/C)=C6([C@@](C)(CC(N)=O)[C@H](CCC([O-])=O)C(\C=4)=[N+]56))=7))(C[C@@H]8([C@H]([C@@H](O)[C@@H](O8)N9(\C=N/C%10(C(/N)=N\C=N/C9=%10)))O)))=%11)))
CPD-17941	CPD-17941	InChIKey=GXEYRDFCNZTIHI-UHFFFAOYSA-N	C(=O)NC2(/C(=O)NC1(\C(\SS/C=1)=2))
CPD-22833	CPD-22833	InChIKey=GNGGMQVVPWGQLI-GYNKIMQWSA-N	C(S[R])[C@H]([NH3+])C(=O)[O-]
CPD-18898	CPD-18898		C4(\C=C3(\C=C5(\C=C/C(\C=C1(CCC(\N1)=C\C2(\C=C/C(/N=2)=C/C(/N3)=4)))=N5)))
CPD-17960	CPD-17960	InChIKey=LFCZGONOEIKIEO-UHFFFAOYSA-N	C2(=O)(C(\NC(C1(\C=C/C=C\C=1))=O)=C3(C(/N2)=C\SS3))
DEOXY-D-RIBOSE-1-PHOSPHATE	DEOXY-D-RIBOSE-1-PHOSPHATE	InChIKey=KBDKAJNTYKVSEK-VPENINKCSA-L	C(O)[C@H]1(O[C@H](OP([O-])(=O)[O-])C[C@H](O)1)
DUMP	DUMP	InChIKey=JSRLJPSBLDHEIO-SHYZEUOFSA-L	C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))C[C@H](O)2)
CPD-11677	CPD-11677		C4(\C=C3(\C=C5(\C=C/C(\C=C1(\C=C/C(/N1)=C/C2(\C=C/C(/N=2)=C/C(/N3)=4)))=N5)))
CPD0-1342	CPD0-1342	InChIKey=NYTIUBZWEKOZRY-HBPOCXIASA-M	C(O)[C@@H]2([C@H](C[C@H](N1(/C=C(C(=O)NC1=O)/[S-]))O2)O)
CPD-15970	CPD-15970	InChIKey=ZKLLSNQJRLJIGT-UYFOZJQFSA-L	[O-]P(=O)(O[R1])[O-]
CPD-22692	CPD-22692	InChIKey=SEHFUALWMUWDKS-UHFFFAOYSA-M	C([R])(=O)[O-]
CPD-9066	CPD-9066		CC[C@@H]1([C@@H](C)C2(\N=C1\C=C7(C(\C)=C3(C4(\N([Mg]N6(C(\C=2)=C(C(/C)=C(\C=C5([C@@H](C)[C@H](CCC(=O)[O-])C(\C(/[C-](C(OC)=O)C(=O)3)=4)=N5))/6)/C(C)=O))7)))))
CPD-15778	CPD-15778	InChIKey=ATTZFOQANXUZIP-UHFFFAOYSA-N	CC1(\N=C(C(/CO)=C/N=1)\O)
CPD-17478	CPD-17478	InChIKey=NPIHSZVTLIVPAU-FFXKVATBSA-N	C3(/C=C(\C=C/C(/C(OO)C1(OC2(\C(\C(=O)1)=C/C=C(/C=2)/O)))=3)/O[C@H]4([C@@H]([C@H]([C@H](O)[C@H](O4)CO)O)O))
DCTP	DCTP	InChIKey=RGWHQCVHVJXOKC-SHYZEUOFSA-J	C(OP(OP(=O)([O-])OP(=O)([O-])[O-])(=O)[O-])[C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)
CPD-22996	CPD-22996		C=CC4(\C(/C)=C5(\C=C7([C@@H](C)[C@H](CCC(=O)OC/C=C(C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(\C6(/[C@@H](C(OC)=O)C(=O)C1(\C(\N2([Mg]N(C(/C=C3(C(/C=O)=C(C=C)\C(/C=C(C(\C)=1)\2)=N3))=4)5))=6)))=N7)))
CPD-8212	CPD-8212	InChIKey=KKUMHWIODKCDNS-UHFFFAOYSA-K	C2(C3(N1(C(/C(S[Cu]1(O2)Cl)=O)=C/C=C\3)))=O
CPD-17944	CPD-17944	InChIKey=KMGWVOLORMQZAF-UHFFFAOYSA-N	CCCCCCCC(=O)NC2(/C(=O)NC1(\C(\SS/C=1)=2))
CPD-20928	CPD-20928	InChIKey=CWIPWSJBYPUOHM-RRKCRQDMSA-J	Cl[R]
CPD-18890	CPD-18890		C/C=C7([C@@H](C)C1(\N=C(\C=C6(C(\C)=C2(C3(\N([Mg]N5(C(\C=1)=C(C(/C)=C(\C=C4([C@@H](C)[C@H](CCC(=O)OC/C=C(C)/CC/C=C(C)/CC/C=C(C)/CCC=C(C)C)C(\C(/[C@@H-](C(OC)=O)C(=O)2)=3)=N4))/5)/C(C)=O))6))))\7))
CPD-13577	CPD-13577	InChIKey=PVWNFAGYFUUDRC-UHFFFAOYSA-N	CC1(\N=C/C(\CNC=O)=C(N)\N=1)
CPD-448	CPD-448	InChIKey=HXXFSFRBOHSIMQ-DVKNGEFBSA-L	C(O)[C@H]1(O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)OP([O-])([O-])=O)
CYTOSINE	CYTOSINE	InChIKey=OPTASPLRGRRNAP-UHFFFAOYSA-N	C1(\NC(=O)/N=C(\C=1)/N)
COBALT-FACTOR-III	COBALT-FACTOR-III	InChIKey=RQHZZQLPDALGEQ-CYGMIEPJSA-D	CC5(\C8(\N2(C(/C=C6(C(/CCC(=O)[O-])=C(CC(=O)[O-])/C7(\C=C1([C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])C3(\N1[Co-2]2([N+]4(C(/[C@@](C)(CC(=O)[O-])[C@H](CCC(=O)[O-])C(\C=3)=4)=5))[N+]/6=7)))))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=8)))
CPD-8208	CPD-8208	InChIKey=GVBGAPCNCCWYCF-UHFFFAOYSA-K	C3(\C=C2(C(=O)S[Cu]1(Cl)(SC(=O)C(N12)\C=3)))
MANNOSE-1P	MANNOSE-1P	InChIKey=HXXFSFRBOHSIMQ-RWOPYEJCSA-L	C(O)[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)[C@H](O)1)
CPD-19986	CPD-19986	InChIKey=LOEDKMLIGFMQKR-JXOAFFINSA-O	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CPD-9049	CPD-9049	InChIKey=ZRAQEEAQQLYOBK-OKJGWHJPSA-F	CC7(\C8(/[C@H]([C@](C1(\[N+](\[Co-2]25([N+]4(/[C@@]([C@]([C@@H](C(\C(/C)=C3([C@]([C@H](CCC(=O)[O-])C(\C=1)=[N+]23)(CC(=O)[O-])C))=4)CCC([O-])=O)(CC(=O)[O-])C)(C)[C@H]6(N5C(/[C@]([C@H]6CC(=O)[O-])(C)CCC(=O)[O-])=7))))=8))(C)C)CCC(=O)[O-]))
CDP	CDP	InChIKey=ZWIADYZPOWUWEW-XVFCMESISA-K	C(OP(OP([O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O)
L-HYOSCYAMINE	L-HYOSCYAMINE	InChIKey=RKUNBYITZUJHSG-FXUDXRNXSA-O	C[NH+]1([C@@H]2(C[C@@H](C[C@@H]1CC2)OC(=O)[C@H](CO)C3(\C=C/C=C\C=3)))
UDP	UDP	InChIKey=XCCTYIAWTASOJW-XVFCMESISA-K	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O)
CPD-7564	CPD-7564	InChIKey=CSCBRZIGJLRQGM-QIISWYHFSA-D	C[C@@]1(CC(=O)[O-])(C4(\N2(C(/[C@@H](CCC(=O)[O-])1)=C/C8(/C(\CC(=O)[O-])=C(CCC(=O)[O-])\C3(\[N+](\[Ni-2]62(N7(C(/C=3)=C(CCC(=O)[O-])/C(\CC(=O)[O-])=C(\C=C5([C@@](C)(CC(=O)[O-])[C@H](CCC(=O)[O-])C(\C=4)=[N+]56))\7)))=8)))))
CPD0-1394	CPD0-1394	InChIKey=WGHTVAKXVHPEEP-RNMRRNDGSA-K	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@@H]2([C@H](C([C@H](N1(\C=C/C(=O)NC1=O))O2)Cl)O)
CPD-15895	CPD-15895	InChIKey=PPQRONHOSHZGFQ-LMVFSUKVSA-L	C(=O)[C@H](O)[C@H](O)[C@@H](COP([O-])([O-])=O)O
CPD-3727	CPD-3727	InChIKey=NXIHNBWNDCFCGL-XVFCMESISA-M	C(O[R3])[C@H]1(O[C@@H]([a nucleobase])[C@H]([R1])[C@H](O[R2])1)
CPD-22992	CPD-22992		C=CC4(\C(/C)=C5(\C=C7([C@@H](C)[C@H](CCC(=O)[O-])C(\C6(/[C@@H-](C(OC)=O)C(=O)C1(\C(\N2([Mg]N(C(/C=C3(C(/C=O)=C(C=C)\C(/C=C(C(\C)=1)\2)=N3))=4)5))=6)))=N7)))
CPD-19982	CPD-19982	InChIKey=VJKJOPUEUOTEBX-TURQNECASA-M	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
L-RIBULOSE-5-P	L-RIBULOSE-5-P	InChIKey=FNZLKVNUWIIPSJ-CRCLSJGQSA-L	C(C(C(C(CO)=O)O)O)OP([O-])([O-])=O
TDP	TDP	InChIKey=UJLXYODCHAELLY-XLPZGREQSA-K	CC1(\C(=O)NC(N(\C=1)[C@H]2(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2))=O)
CPD-18887	CPD-18887		C/C=C7([C@@H](C)C1(\N=C(\C=C6(C(\C)=C2(C3(\N([Mg]N5(C(\C=1)=C(C(/C)=C(\C=C4([C@@H](C)[C@H](CCC(=O)[O-])C(\C(/[C@@H-](C(OC)=O)C(=O)2)=3)=N4))/5)/C(C)O))6))))\7))
CPD0-1390	CPD0-1390	InChIKey=ZKKUGXSIMCFICF-XVFCMESISA-J	C(OP([O-])(=O)OP([O-])(=O)OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)Cl)O)
RIBULOSE-5P	RIBULOSE-5P	InChIKey=FNZLKVNUWIIPSJ-UHNVWZDZSA-L	C([C@H]([C@H](C(CO)=O)O)O)OP([O-])([O-])=O
CPD-3723	CPD-3723	InChIKey=HQIDPEYTETUCNF-XVFCMESISA-L	C(O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)OP([O-])(=O)[O-])O)
CHLOROPHYLL-B	CHLOROPHYLL-B		C=CC4(\C(/C)=C5(\C=C7([C@@H](C)[C@H](CCC(=O)OC/C=C(C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(\C6(/[C@@H](C(OC)=O)C(=O)C1(\C(\N2([Mg]N(C(/C=C3(C(/C=O)=C(CC)\C(/C=C(C(\C)=1)\2)=N3))=4)5))=6)))=N7)))
CPD-19979	CPD-19979	InChIKey=YIZYCHKPHCPKHZ-PNHWDRBUSA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CPD0-2629	CPD0-2629	InChIKey=SIYLLGKDQZGJHK-UHFFFAOYSA-N	[N+]([R4])([R3])([R1])[R2]
DUTP	DUTP	InChIKey=AHCYMLUZIRLXAA-SHYZEUOFSA-J	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))C[C@H](O)2)
CPD0-1343	CPD0-1343	InChIKey=UYPHYZSNRPGPAN-RRKCRQDMSA-J	Br[R]
CPD-18118	CPD-18118	InChIKey=KTVPXOYAKDPRHY-ZRMNMSDTSA-L	C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@H](O)C(O)O1)
CPD-3710	CPD-3710	InChIKey=YQUAKORMLHPSLZ-XVFCMESISA-L	C(O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)OP([O-])(=O)[O-])O)
CPD-18202	CPD-18202	InChIKey=BQADNJZQJRCGIG-OWOJBTEDSA-O	C1(=O)(C([NH3+])C(S)C(/N1)=C\S)
CPD-17143	CPD-17143	InChIKey=KPUOHXMVCZBWQC-JXOAFFINSA-L	C(O)C1(\C(\N)=N/C(N(/C=1)[C@H]2([C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O2)O)O))=O)
ARABINOSE-5P	ARABINOSE-5P	InChIKey=PPQRONHOSHZGFQ-WDCZJNDASA-L	C(=O)[C@H]([C@@H]([C@@H](COP([O-])([O-])=O)O)O)O
CPD0-1314	CPD0-1314	InChIKey=KUNNVLZBOWEQIC-QCNRFFRDSA-L	Br[R]
CPD-21617	CPD-21617	InChIKey=BSLSKFONEPFAKO-XVFCMESISA-L	C(OP(OP(N)([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O)
CPD-12166	CPD-12166	InChIKey=KKZFLSZAWCYPOC-LMVFSUKVSA-L	C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)CC(O)O1)
CPD-13578	CPD-13578	InChIKey=OZOHTVFCSKFMLL-UHFFFAOYSA-O	CC1(\N=C/C(\C[NH3+])=C(N)\N=1)
CPD-15980	CPD-15980	InChIKey=VFRROHXSMXFLSN-KVTDHHQDSA-L	C([C@H]([C@H]([C@@H]([C@@H](COP([O-])(=O)[O-])O)O)O)O)=O
DCDP	DCDP	InChIKey=FTDHDKPUHBLBTL-SHYZEUOFSA-K	C(OP(OP([O-])([O-])=O)(=O)[O-])[C@@H]2([C@H](C[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)
CPD-21342	CPD-21342	InChIKey=VCAVAURZPNANDQ-UHFFFAOYSA-N	[N+]([R4])([R3])([R1])[R2]
CPD-8209	CPD-8209	InChIKey=SDHVWTASABIBBJ-UHFFFAOYSA-K	C(C2(N1(C(/C(S[Cu]1(Cl)Cl)=O)=C/C=C\2)))(S)=O
CPD-20074	CPD-20074	InChIKey=SNNBPMAXGYBMHM-JXOAFFINSA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CDP-ETHANOLAMINE	CDP-ETHANOLAMINE	InChIKey=WVIMUEUQJFPNDK-PEBGCTIMSA-M	C(COP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))(=O)[O-])([O-])=O)[NH3+]
URACIL	URACIL	InChIKey=ISAKRJDGNUQOIC-UHFFFAOYSA-N	C1(\NC(=O)NC(=O)\C=1)
CPD-18198	CPD-18198	InChIKey=ZOBRMFOBEGTXDO-OWOJBTEDSA-N	C1(=O)(C(\N)=C(C(/N1)=C\S)\S)
CPD-3733	CPD-3733	InChIKey=QSJFDOVQWZVUQG-XLPZGREQSA-M	C(O[R3])[C@H]1(O[C@@H]([a nucleobase])[C@H]([R1])[C@H](O[R2])1)
CPD-19983	CPD-19983	InChIKey=VKLFQTYNHLDMDP-PNHWDRBUSA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CPD-9755	CPD-9755	InChIKey=VFRROHXSMXFLSN-SLPGGIOYSA-L	C(=O)[C@@H]([C@H]([C@@H]([C@@H](COP([O-])(=O)[O-])O)O)O)O
5-METHYLAMINOMETHYL-2-SELENOURIDINE	5-METHYLAMINOMETHYL-2-SELENOURIDINE	InChIKey=VOHFLTOTAUAHED-FDDDBJFASA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
TMP	TMP	InChIKey=GYOZYWVXFNDGLU-XLPZGREQSA-L	CC1(\C(=O)NC(N(\C=1)[C@H]2(C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2))=O)
CPD-19542	CPD-19542	InChIKey=JUCPIUUYZVNZSC-UHFFFAOYSA-N	[N+]([R4])([R3])([R1])[R2]
CPD0-1391	CPD0-1391	InChIKey=HWSNFUNJICGTGY-XVFCMESISA-J	C(OP([O-])(=O)OP([O-])(=O)OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)N=[N+]=[N-])O)
CPD-19980	CPD-19980	InChIKey=XMIFBEZRFMTGRL-TURQNECASA-M	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CPD0-2637	CPD0-2637	InChIKey=HXXFSFRBOHSIMQ-PHYPRBDBSA-L	[O-]P(=O)(O[R1])[O-]
OROTATE	OROTATE	InChIKey=PXQPEWDEAKTCGB-UHFFFAOYSA-M	C([R])(=O)[O-]
CPD-17948	CPD-17948	InChIKey=JSZVYHFPIFBAHE-UHFFFAOYSA-N	C1(=O)(C(\N)=C2(C(/N1)=C\SS2))
CPD0-1345	CPD0-1345	InChIKey=RQKDPSTWKKMBPM-XLPZGREQSA-K	C(O)C1(\C(\N)=N/C(N(/C=1)[C@H]2(C[C@@H]([C@@H](COP(OP([O-])([O-])=O)(=O)[O-])O2)O))=O)
GALACTOSE-1P	GALACTOSE-1P	InChIKey=HXXFSFRBOHSIMQ-FPRJBGLDSA-L	C(O)[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@@H](O)1)
CPD-18527	CPD-18527	InChIKey=WVNRRNJFRREKAR-JGVFFNPUSA-L	CC1(\C(=O)NC(N(\C=1)[C@H]2(CC[C@@H](COP(=O)([O-])[O-])O2))=O)
DUDP	DUDP	InChIKey=QHWZTVCCBMIIKE-SHYZEUOFSA-K	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))C[C@H](O)2)
CPD-15984	CPD-15984	InChIKey=VFRROHXSMXFLSN-KCDKBNATSA-L	C(=O)[C@@H]([C@H]([C@H]([C@@H](COP([O-])(=O)[O-])O)O)O)O
CPD0-1315	CPD0-1315	InChIKey=RTOKQNPULGAVTE-QCNRFFRDSA-L	C(Cl)C(=O)COP(=O)([O-])OP(=O)([O-])OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O)
CPD-21618	CPD-21618	InChIKey=IBTJOXBAHPGOJB-XVFCMESISA-J	C(OP(OP(N)([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)OP([O-])(=O)[O-])
BETAINE_ALDEHYDE	BETAINE_ALDEHYDE	InChIKey=SXKNCCSPZDCRFD-UHFFFAOYSA-N	C[N+](C)(CC=O)C
CPD-15531	CPD-15531	InChIKey=RYVNIFSIEDRLSJ-UHFFFAOYSA-N	C1(/NC(=O)/N=C(C(/CO)=1)/N)
DCMP	DCMP	InChIKey=NCMVOABPESMRCP-SHYZEUOFSA-L	C(OP(=O)([O-])[O-])[C@@H]2([C@H](C[C@H](N1(\C=C/C(/N)=N\C(=O)1))O2)O)
CPD0-1116	CPD0-1116	InChIKey=ZKLLSNQJRLJIGT-PYWDMBMJSA-L	[O-]P(=O)(O[R1])[O-]
CPD-8210	CPD-8210	InChIKey=RQSAQFSMASRCOP-UHFFFAOYSA-K	C1(=O)(S[Cu](Cl)(Cl)N2(C(C(=O)SC(Cl)(Cl)Cl)\C=C/C=C1\2))
CPD-20747	CPD-20747	InChIKey=ZLOIGESWDJYCTF-XVFCMESISA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CPD-17942	CPD-17942	InChIKey=YBDAGRFUBLIKGW-UHFFFAOYSA-N	CCCCCC(=O)NC2(/C(=O)NC1(\C(\SS/C=1)=2))
CMP-N-ACETYL-NEURAMINATE	CMP-N-ACETYL-NEURAMINATE	InChIKey=TXCIAUNLDRJGJZ-BILDWYJOSA-L	CC(=O)N[C@@H]3([C@H](C[C@](C([O-])=O)(OP(=O)([O-])OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))O[C@H]3[C@H](O)[C@H](O)CO)O)
UTP	UTP	InChIKey=PGAVKCOVUIYSFO-XVFCMESISA-J	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))[C@H](O)[C@H](O)2)
CPD-12072	CPD-12072	InChIKey=AJNSBBWGTPIBLK-LFAPBIBLSA-N	[a siderophore]
CTP	CTP	InChIKey=PCDQPRRSZKQHHS-XVFCMESISA-J	C(OP(OP(OP(=O)([O-])[O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O)
CPD-12068	CPD-12068	InChIKey=WTCKJYQWPPSOES-UHFFFAOYSA-N	[a siderophore]
CPD-4841	CPD-4841	InChIKey=WJJMNDUMQPNECX-UHFFFAOYSA-L	C1(\C=C(C(=O)[O-])/N=C(\C=1)/C(=O)[O-])
CPD0-2630	CPD0-2630	InChIKey=OGQYPPBGSLZBEG-UHFFFAOYSA-N	[N+]([R4])([R3])([R1])[R2]
CPD-19984	CPD-19984	InChIKey=VSCNRXVDHRNJOA-PNHWDRBUSA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
5-METHYLAMINOMETHYL-2-THIOURIDINE	5-METHYLAMINOMETHYL-2-THIOURIDINE	InChIKey=XSBMBRSZUADHCN-TURQNECASA-O	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
CPD-12069	CPD-12069	InChIKey=NGQYHMUFXKSYFU-BWAHOGKJSA-N	[a siderophore]
TTP	TTP	InChIKey=NHVNXKFIZYSCEB-XLPZGREQSA-J	C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]1(O[C@@H]([a nucleobase])C[C@H](O)1)
CPD-18203	CPD-18203	InChIKey=HMFSLSIWMRHWGY-UHFFFAOYSA-N	C1(=O)(C([NH3+])C(S)C(C([O-])=O)(C=S)N1)
CPD0-1393	CPD0-1393	InChIKey=XGNQBLVRLRDTNR-WDGWZIQESA-K	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@@H]2([C@H](C([C@H](N1(\C=C/C(=O)NC1=O))O2)ON=[N+]=[N-])O)
CPD-12071	CPD-12071	InChIKey=ZELHSFCGRQNBNU-OEGYWQOXSA-N	[a siderophore]
CPD-19981	CPD-19981	InChIKey=XOTXNXXJZCFUOA-UGKPPGOTSA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
PYRIMIDINE-RING	PYRIMIDINE-RING	InChIKey=CZPWVGJYEJSRLH-UHFFFAOYSA-N	C1(\N=C/N=C\C=1)
CPD-7702	CPD-7702	InChIKey=VVNCNSJFMMFHPL-VKHMYHEASA-N	C([R])(=O)[O-]
CPD0-1388	CPD0-1388	InChIKey=YKEIUAOIVAXJRI-XVFCMESISA-J	C(OP([O-])(=O)OP([O-])(=O)OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)F)O)
CPD-19978	CPD-19978	InChIKey=HLZXTFWTDIBXDF-PNHWDRBUSA-N	C(O)[C@H]1(O[C@@H]([a nucleobase])[C@H]([R])[C@H](O)1)
L-PENICILLAMINE	L-PENICILLAMINE	InChIKey=VVNCNSJFMMFHPL-GSVOUGTGSA-N	C([R])(=O)[O-]
CPD-543	CPD-543	InChIKey=WXCQAWGXWVRCGP-UHFFFAOYSA-N	[N+]([R4])([R3])([R1])[R2]
CPD0-621	CPD0-621	InChIKey=FQIVLXIUJLOKPL-DWZMLRRXSA-N	[a siderophore]
CPD-17949	CPD-17949	InChIKey=BFQVDMXSAODADC-UHFFFAOYSA-N	CN(C=O)C2(/C(=O)NC1(\C(\SS/C=1)=2))
CPD-18199	CPD-18199	InChIKey=LGIRKHAVJNMPDP-DUXPYHPUSA-N	CC(=O)NC1(/C(=O)NC(\C(\S)=1)=C/S)
CPD0-2114	CPD0-2114		[a siderophore]
CPD-17943	CPD-17943	InChIKey=ZHGZIFCTZVOLMX-UHFFFAOYSA-N	CC(C)CCCC(=O)NC2(/C(=O)NC1(\C(\SS/C=1)=2))
CPD-23345	CPD-23345	InChIKey=RCXPSWVRHIYDCZ-GRBGHKMPSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
